R2	RMSE	NRMSE	Sampling
0.8106593661892144	0.0021324444604782257	68.3475788614816	2
0.8117718939842378	0.0021264620500313757	68.15583493690308	3
0.812279498014688	0.0021204552379850464	67.96330890977713	4
0.8127393434912745	0.002117281413023506	67.8615837507534	5
0.8143601033647023	0.0021054334195964868	67.48184037168227	6
0.8148955748222253	0.0021019932375277717	67.37157812589012	7
0.8162504279340884	0.002094976399991289	67.1466794869003	8
0.8165316230196253	0.0020901088092895887	66.9906669644099	9
0.8167340870551011	0.002086108225238892	66.86244311663116	10
0.8177275165614278	0.002074394551120119	66.48700484359355	11
0.8200445562071333	0.0020661785416778615	66.22367120762377	12
0.8203824570202628	0.0020600157674994565	66.02614639421336	13
0.8200758823526165	0.0020705205612629573	66.36283850201787	14
0.8218166834932974	0.0020585359884759923	65.97871757935873	15
0.8222975678950362	0.002059464211571622	66.00846831960328	16
0.8236243650607247	0.002040129019405838	65.38875062198198	17
0.8229910739174681	0.0020425135693400145	65.46517850448765	18
0.8279799305111003	0.002004765629025959	64.25530862262688	19
0.823909975360737	0.002043785643275753	65.5059501049921	20
0.8228736733056088	0.002038367194316666	65.33228186912392	21
0.8223652660422064	0.002029926888326236	65.06175924122552	22
0.8271375519788292	0.0020201656417927413	64.74889877540838	23
0.8321763694540203	0.0020080238665663346	64.35973931302355	24
0.8245228307489826	0.0020455077547571468	65.561145985806	25
0.8277463466491519	0.001973313829350991	63.247238120224075	26
0.8295763081459807	0.0019906835233755443	63.8039590825495	27
0.833315438329154	0.001969940764574643	63.1391270697001	28
0.8402436053551167	0.001946471321715164	62.38690133702449	29
0.8272890681889026	0.0020318243807547426	65.12257630624175	30
0.8320119718485004	0.0019537239347397033	62.6193568826828	31
0.8250021044850531	0.0020549164497952297	65.86270672420608	32
0.8328414596377628	0.0019213803454034342	61.5827033783152	33
0.8317086198036653	0.0019679152199571113	63.07420576785613	34
0.8398708199181985	0.0018862598925660863	60.45704783865661	35
0.8320818446294718	0.0020411784463353097	65.4223861004907	36
0.8373639712269743	0.0018960746668869896	60.771623938685565	37
0.8336224717524868	0.0019737386947885696	63.26085560219774	38
0.8398581790880347	0.0019004251921796267	60.911063851911116	39
0.827248574039148	0.0020084378615056317	64.37300838159076	40
0.8311552455352533	0.002043882015257689	65.50903895056696	41
0.8338131832870603	0.0019285917140954333	61.81383699023825	42
0.8332799383667833	0.0019458792924987422	62.367926041626355	43
0.8207965779691174	0.0020646383699508913	66.17430672919524	44
0.8421486822836826	0.0019230044321564357	61.6347574409114	45
0.8489762035124597	0.001776110006827905	56.92660278294568	46
0.8370193980540402	0.001978272406580897	63.40616687759286	47
0.8399563581510888	0.00198317477936807	63.56329421051506	48
0.8579493520441923	0.0018049382374203517	57.850584532703586	49
0.8366627114606322	0.0018626073815731295	59.69895453760031	50
0.8521243193132972	0.0017873403511632021	57.2865497167693	60
0.8503928800432649	0.0018778801666535611	60.18846687992183	70
0.8223436443812553	0.0020574311814862472	65.94330709891818	80
0.8424786411263983	0.001744703651621063	55.919988834008436	90
0.8563558529146488	0.001755950776103282	56.28047359305391	100
0.8384914083968349	0.0018975251309362162	60.81811317103257	120
0.8966185364194175	0.001689169897556753	54.140060819126695	140
0.7970399990101992	0.0017071517612619596	54.71640260454999	160
0.7550735001682877	0.0019575159565659427	62.74089604378022	180
0.878895386281678	0.0014857626682599787	47.62059834166598	200
0.8388493004251739	0.001749759042789658	56.082020602232625	220
0.4407103743268367	0.0027047771399537233	86.69157499851678	240
0.03040521907542727	0.0053820619145033026	172.5019844392084	260
0.5592942097814426	0.00449969757891545	144.22107624729006	280
0.18326810558536435	0.0037657257995872173	120.69633973035953	300
0.09552354988956686	0.003743952473239172	119.99847670638371	320
0.174616652650337	0.0036176720397807947	115.95102691605112	340
0.49265060758538665	0.005865180120366224	187.98654231943027	360
0.5975096443548437	0.0073539177495850925	235.7024919738812	380
0.6836137462882749	0.0055900021895041825	179.1667368430828	400
