R2	RMSE	NRMSE	Sampling
0.7270810699774493	0.003665017249050203	88.31366865181212	2
0.7275502303633774	0.0036721956041836576	88.48664106466647	3
0.7273308687924134	0.003676563217912168	88.59188476896792	4
0.7273943056759703	0.0036818341216504897	88.71889449760218	5
0.7280657337870494	0.0036867506019820752	88.83736390318255	6
0.7278647141004855	0.0036954103873119855	89.04603342920448	7
0.7285934035391819	0.003696060417132711	89.06169679837859	8
0.7285401997792579	0.003703255953141429	89.23508320822722	9
0.7278711047086297	0.00370705683081544	89.32667062205881	10
0.7281870773566161	0.003703351841337732	89.23739376717428	11
0.7301075986594029	0.0037223817714302585	89.69594629952432	12
0.729628650983132	0.003717561998658289	89.57980719658529	13
0.7294215100504228	0.0037350099115487107	90.00023883249906	14
0.729321455661069	0.0037267908675875797	89.80218958042363	15
0.7306310890486165	0.0037475233677392284	90.30176789733082	16
0.7304065012916339	0.0037458121400543005	90.26053349528436	17
0.7297871725871046	0.0037465719257143075	90.27884158347732	18
0.7311763159718172	0.003758257492436466	90.56042150449318	19
0.7272108706936059	0.00377017432205341	90.8475740253834	20
0.7289842078296173	0.003780226077185195	91.08978499241437	21
0.7292420892353298	0.0037605301233297663	90.61518369469317	22
0.7336075101571311	0.003761127607855926	90.62958091219102	23
0.7318967350590126	0.0037923387723666664	91.38165716546186	24
0.7277311361809108	0.003785050529191708	91.20603684799298	25
0.7332754596069986	0.003783308271021573	91.16405472341141	26
0.7327214871681951	0.0038410474920713925	92.55536125473238	27
0.7290277398491997	0.0038340821479699015	92.38752163782897	28
0.7340496401077864	0.0038059555146811534	91.7097714381001	29
0.7386191812378392	0.003778976719318848	91.05967998358672	30
0.7317127132701328	0.00378503804159515	91.20573594205183	31
0.7350014123331917	0.0037461148931266504	90.26782875003978	32
0.7308250193859478	0.00382352363428297	92.1330996212764	33
0.730884950121706	0.00376053373273139	90.61527066822627	34
0.7276334335836512	0.0039055640339534284	94.10997672176939	35
0.7367865576384555	0.0038111911940097616	91.8359323857774	36
0.7222972698061151	0.003956655091435391	95.34108654061187	37
0.7345494553383144	0.003902211689557809	94.0291973387424	38
0.7226242265842516	0.003865467444540955	93.14379384436037	39
0.726875789778227	0.004006644113858766	96.54564129780161	40
0.7370376461894392	0.003865591588203377	93.14678525791271	41
0.7253874523766799	0.0038767102116017645	93.41470389401843	42
0.7327965769405256	0.003960063455471927	95.42321579450429	43
0.7381222099924717	0.003786684544563401	91.24541071237113	44
0.7370565212299596	0.003762202363867997	90.65547864742163	45
0.7393499449055846	0.003874743672779175	93.36731741636568	46
0.7451263414976091	0.003811344117653894	91.83961729286493	47
0.7474805116136497	0.003796490767999525	91.48170525300063	48
0.7411679441466151	0.0037763263830672294	90.99581645945133	49
0.7266824339331011	0.0039291533005009595	94.67839278315567	50
0.7242837688232319	0.004129071447600599	99.49569753254457	60
0.73238494352568	0.00418381180165046	100.81474220844486	70
0.7442360753978374	0.004205441062051668	101.33592920606432	80
0.75153744222521	0.003995101790406458	96.26751302184239	90
0.7449393955902733	0.0038837036168867444	93.58321968401796	100
0.7247929398795039	0.004456005965757836	107.37363772910452	120
0.7437852549484233	0.004434350039177296	106.85180817294692	140
0.7178884335176472	0.0049187435183774934	118.52394020186733	160
0.7285793451795086	0.004228347568590361	101.88789321904487	180
0.7512879390778414	0.003913944113449373	94.31190634817769	200
0.7243038342766933	0.004415962356201332	106.40873147473091	220
0.8049016820964214	0.00370104089787788	89.18170838259954	240
0.823507867368995	0.0031354867880264165	75.55389850666066	260
0.7281526347400864	0.005250512175059584	126.51836566408639	280
0.7786921315721733	0.0038093323246980336	91.7911403541695	300
0.7812265676938613	0.004209707217736288	101.43872813822384	320
0.7606353981952193	0.0037706315327274624	90.85859115005935	340
0.641636995765154	0.0053802965250611765	129.6456993990645	360
0.6057421633160249	0.005600979381169718	134.9633585824029	380
0.5377448504570084	0.0056173712931492994	135.35834441323615	400
