23.26	9.7225	2.9576	1.3032
17.519	7.6484	3.7543	2.876
13.615	4.7577	3.6261	4.0894
9.58	3.6795	3.6029	7.5046
6.4104	1.9897	4.8197	10.291
2.2293	0.65629	4.2713	17.571
4.2509	1.1731	6.9013	14.451
1.2448	0.24843	5.4439	17.215
1.3567	0.57497	5.8492	20.202
2.9052	0.79128	5.4359	16.813
0.80554	0.083341	5.559	11.66
1.6701	0.50198	5.9142	11.407
6.6186	1.7252	5.5545	1.3032
0.83426	0.011253	6.0647	1.1235
11.678	4.2959	10.229	10.183
9.1387	3.3543	8.0842	8.718
10.104	4.1992	10.399	20.483
5.9054	1.9594	9.6482	6.0621
6.5914	2.6757	8.0651	21.435
1.7622	0.56443	2.7233	11.607
1.4375	0.60532	6.9935	16.308
9.1257	4.4534	6.1106	10.92
10.956	4.7635	8.7967	17.229
10.767	5.0003	7.5042	9.028
9.6475	3.9127	9.2893	5.8195
0.72073	0.23688	3.1341	1.3661
0.47916	0.20177	8.6326	20.038
0.196	0.20466	6.6641	18.784
0.23361	0.29821	6.4956	21.665
3.1993	0.88571	2.3531	2.0553
4.655	1.5085	3.6036	1.742
4.5945	1.4485	4.2505	3.3355
2.6664	0.91847	2.7635	1.6215
0.055607	0.087597	2.2388	3.0874
3.5088	1.0191	4.2118	4.2165
4.482	1.6785	3.6259	1.6066
11.743	3.7514	4.7193	1.7256
8.4948	2.6863	5.1555	4.8822
0.17435	0.087232	4.4471	2.7464
0.12567	0.058058	2.5405	2.9531
0.15845	0.11141	5.6229	4.4251
0.24906	0.12462	7.9565	18.339
0.24378	0.12561	1.8402	1.3062
1.4862	0.34728	2.8555	1.2096
5.5426	1.8171	1.8162	6.0284
13.987	5.0079	5.0053	7.7225
8.0084	2.3761	2.3749	9.1601
6.0003	1.9652	1.9642	4.5098
